Column1,Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
1,Niño,1,Rarefaction,0,1,1,1,0.198810622,0.195750707,0.201870538
2,Niño,2089,Rarefaction,0,101.9291714,100.7846875,103.0736554,0.987744543,0.987365543,0.988123542
3,Niño,4178,Rarefaction,0,118.3203297,116.9106304,119.7300291,0.994937556,0.994715528,0.995159584
4,Niño,6266,Rarefaction,0,126.1063329,124.5751213,127.6375444,0.997264336,0.997086791,0.997441882
5,Niño,8355,Rarefaction,0,130.6014939,128.9797622,132.2232257,0.998309784,0.998137596,0.998481973
6,Niño,10443,Rarefaction,0,133.5079923,131.7676462,135.2483383,0.998852712,0.998679805,0.999025618
7,Niño,12532,Rarefaction,0,135.5524428,133.6486043,137.4562814,0.999163315,0.998991136,0.999335494
8,Niño,14620,Rarefaction,0,137.0860107,134.9802956,139.1917258,0.99935324,0.999183232,0.999523249
9,Niño,16709,Rarefaction,0,138.3006615,135.966635,140.6346879,0.999475382,0.999308282,0.999642482
10,Niño,18798,Rarefaction,0,139.3059359,136.7276486,141.8842232,0.99955698,0.999393013,0.999720947
11,Niño,20886,Rarefaction,0,140.1687377,137.337457,143.0000185,0.999613287,0.999452325,0.999774249
12,Niño,22975,Rarefaction,0,140.9324786,137.8435331,144.0214241,0.999653357,0.999495037,0.999811676
13,Niño,25063,Rarefaction,0,141.6241758,138.275502,144.9728497,0.999682657,0.999526467,0.999838848
14,Niño,27152,Rarefaction,0,142.2630659,138.6534692,145.8726627,0.999704682,0.999550028,0.999859335
15,Niño,29240,Rarefaction,0,142.8612753,138.9901686,146.7323819,0.999721621,0.999567881,0.999875362
16,Niño,31329,Rarefaction,0,143.4283817,139.2948384,147.5619249,0.99973492,0.999581467,0.999888374
17,Niño,33417,Rarefaction,0,143.9704286,139.5734273,148.3674299,0.999745486,0.999591697,0.999899274
18,Niño,35506,Rarefaction,0,144.4929679,139.8307397,149.1551962,0.999753923,0.999599176,0.999908669
19,Niño,37595,Rarefaction,0,144.9997606,140.0700712,149.9294501,0.999760613,0.999604266,0.99991696
20,Niño,37596,Observed,0,145,140.0701819,149.9298181,0.999760616,0.999604268,0.999916964
21,Niño,37597,Extrapolation,0,145.0002394,140.0702926,149.9301862,0.999760618,0.999604269,0.999916968
22,Niño,38249,Extrapolation,0,145.1557171,140.14172,150.1697141,0.999762457,0.999605472,0.999919441
23,Niño,38902,Extrapolation,0,145.3102367,140.21175,150.4087234,0.999764283,0.999606663,0.999921903
24,Niño,39555,Extrapolation,0,145.4635681,140.2802823,150.6468539,0.999766096,0.999607844,0.999924347
25,Niño,40208,Extrapolation,0,145.6157204,140.3473275,150.8841132,0.999767895,0.999609019,0.99992677
26,Niño,40860,Extrapolation,0,145.7664723,140.412797,151.1201476,0.999769677,0.999610189,0.999929164
27,Niño,41513,Extrapolation,0,145.9162952,140.4769024,151.3556881,0.999771448,0.99961136,0.999931536
28,Niño,42166,Extrapolation,0,146.0649661,140.5395532,151.590379,0.999773205,0.999612531,0.99993388
29,Niño,42819,Extrapolation,0,146.2124936,140.6007608,151.8242265,0.999774949,0.999613706,0.999936193
30,Niño,43472,Extrapolation,0,146.3588867,140.6605369,152.0572365,0.99977668,0.999614885,0.999938475
31,Niño,44124,Extrapolation,0,146.5039324,140.7188054,152.2890595,0.999778395,0.999616068,0.999940721
32,Niño,44777,Extrapolation,0,146.6480844,140.7757574,152.5204114,0.999780099,0.99961726,0.999942938
33,Niño,45430,Extrapolation,0,146.7911278,140.8313152,152.7509404,0.99978179,0.99961846,0.99994512
34,Niño,46083,Extrapolation,0,146.9330712,140.885492,152.9806504,0.999783468,0.999619668,0.999947268
35,Niño,46736,Extrapolation,0,147.0739231,140.9383014,153.2095448,0.999785133,0.999620886,0.999949381
36,Niño,47388,Extrapolation,0,147.2134786,140.9896795,153.4372778,0.999786783,0.999622111,0.999951455
37,Niño,48041,Extrapolation,0,147.3521742,141.039798,153.6645504,0.999788423,0.999623347,0.999953498
38,Niño,48694,Extrapolation,0,147.4898032,141.0885915,153.8910149,0.99979005,0.999624594,0.999955505
39,Niño,49347,Extrapolation,0,147.6263739,141.1360748,154.1166729,0.999791664,0.99962585,0.999957478
40,Niño,50000,Extrapolation,0,147.7618943,141.1822629,154.3415257,0.999793266,0.999627117,0.999959415
41,Niño,1,Rarefaction,1,1,1,1,0.198810622,0.195750707,0.201870538
42,Niño,2089,Rarefaction,1,13.92439478,13.67249839,14.17629118,0.987744543,0.987365543,0.988123542
43,Niño,4178,Rarefaction,1,14.15882318,13.90201977,14.41562659,0.994937556,0.994715528,0.995159584
44,Niño,6266,Rarefaction,1,14.2425661,13.98396415,14.50116806,0.997264336,0.997086791,0.997441882
45,Niño,8355,Rarefaction,1,14.28534508,14.02584722,14.54484293,0.998309784,0.998137596,0.998481973
46,Niño,10443,Rarefaction,1,14.3111919,14.05116471,14.57121908,0.998852712,0.998679805,0.999025618
47,Niño,12532,Rarefaction,1,14.32848478,14.06810649,14.58886306,0.999163315,0.998991136,0.999335494
48,Niño,14620,Rarefaction,1,14.34085197,14.08022234,14.6014816,0.99935324,0.999183232,0.999523249
49,Niño,16709,Rarefaction,1,14.35014551,14.08932596,14.61096507,0.999475382,0.999308282,0.999642482
50,Niño,18798,Rarefaction,1,14.35738556,14.09641703,14.6183541,0.99955698,0.999393013,0.999720947
51,Niño,20886,Rarefaction,1,14.36318671,14.10209801,14.62427541,0.999613287,0.999452325,0.999774249
52,Niño,22975,Rarefaction,1,14.367947,14.10675913,14.62913487,0.999653357,0.999495037,0.999811676
53,Niño,25063,Rarefaction,1,14.37192313,14.11065203,14.63319422,0.999682657,0.999526467,0.999838848
54,Niño,27152,Rarefaction,1,14.37529964,14.11395765,14.63664164,0.999704682,0.999550028,0.999859335
55,Niño,29240,Rarefaction,1,14.37820215,14.11679911,14.63960519,0.999721621,0.999567881,0.999875362
56,Niño,31329,Rarefaction,1,14.38072784,14.11927169,14.64218399,0.99973492,0.999581467,0.999888374
57,Niño,33417,Rarefaction,1,14.38294503,14.12144237,14.64444768,0.999745486,0.999591697,0.999899274
58,Niño,35506,Rarefaction,1,14.38490991,14.12336626,14.64645356,0.999753923,0.999599176,0.999908669
59,Niño,37595,Rarefaction,1,14.38666345,14.12508351,14.64824339,0.999760613,0.999604266,0.99991696
60,Niño,37596,Observed,1,14.38666424,14.12508428,14.6482442,0.999760616,0.999604268,0.999916964
61,Niño,37597,Extrapolation,1,14.38666504,14.12508506,14.64824501,0.999760618,0.999604269,0.999916968
62,Niño,38249,Extrapolation,1,14.38717874,14.12558821,14.64876928,0.999762457,0.999605472,0.999919441
63,Niño,38902,Extrapolation,1,14.38768484,14.12608395,14.64928574,0.999764283,0.999606663,0.999921903
64,Niño,39555,Extrapolation,1,14.38818268,14.12657162,14.64979374,0.999766096,0.999607844,0.999924347
65,Niño,40208,Extrapolation,1,14.38867239,14.12705137,14.65029341,0.999767895,0.999609019,0.99992677
66,Niño,40860,Extrapolation,1,14.38915338,14.12752261,14.65078415,0.999769677,0.999610189,0.999929164
67,Niño,41513,Extrapolation,1,14.38962725,14.12798691,14.65126758,0.999771448,0.99961136,0.999931536
