CÓDIGO,CRUCERO,ESTACIÓN,ESPACIO,LATITUD,LONGITUD,SALINIDAD,TEMPERATURA,BIOV_ZOO (ml/1000m3)," TOTAL DE HUEVOS
(10m2)"," TOTAL DE LARVAS 
(10m2)"
E124,ERFEN9304,24,Pelágica,3.000000000,-78.500000000,33.03,28.20,55.00,383,1571
E140,ERFEN9304,40,Pelágica,2.500000000,-79.500000000,33.00,28.20,45.00,329,627
E133,ERFEN9304,33,Pelágica,2.000000000,-79.000000000,20.00,27.80,210.00,0,2405
E1 33A,ERFEN9304, 33A,Pelágica,1.966944444,-78.918333333,34.00,28.00,60.00,286,4243
E1 MND,ERFEN9304, M-ND,Malpelo,4.017016670,-81.617050000,25.00,29.00,15.00,61161,714
E1 MNN,ERFEN9304, M-NN,Malpelo,4.017016670,-81.617050000,26.00,29.00,10.00,22815,569
E1 MED,ERFEN9304, M-ED,Malpelo,3.984916670,-81.583816670,35.00,29.00,15.00,4893,893
E1 MEN,ERFEN9304, M-EN,Malpelo,3.984916670,-81.583816670,33.57,29.00,25.00,59212,1264
E1 ME1D,ERFEN9304, M-E1D,Malpelo,3.984783330,-81.600783330,32.00,29.00,27.50,2278,1113
E1 ME1N,ERFEN9304, M-E1N,Malpelo,3.984783330,-81.600783330,30.00,29.00,17.00,101809,601
E1 MWD,ERFEN9304, M-WD,Malpelo,4.000483330,-81.061780000,25.27,29.00,15.00,34236,801
E1 MWN,ERFEN9304, M-WN,Malpelo,4.000483330,-81.617800000,32.00,28.80,33.00,5885,1125
E1 MW1D,ERFEN9304, M-W1D,Malpelo,4.000466670,-81.617016670,25.00,29.00,15.00,22035,473
E1 MW1N,ERFEN9304, M-W1N,Malpelo,4.000466670,-81.617016670,35.00,29.00,25.00,5702,722
E1 MSD,ERFEN9304, M-SD,Malpelo,3.983366670,-81.584450000,32.00,29.00,25.00,73541,1082
E1 MSN,ERFEN9304, M-SN,Malpelo,3.983366670,-81.000000000,32.00,28.80,25.00,13923,1116
E224,ERFEN9310,24,Pelágica,3.000000000,-78.500000000,33.00,27.50,124.83,880,1978
E240,ERFEN9310,40,Pelágica,2.500000000,-79.500000000,33.00,28.00,62.56,931,456
E248,ERFEN9310,48,Pelágica,2.500000000,-80.000000000,34.00,27.00,116.97,624,778
E233,ERFEN9310,33,Pelágica,2.000000000,-79.000000000,20.00,27.00,381.94,342,550
E2 MND,ERFEN9310, M-ND,Malpelo,4.017016670,-81.617050000,33.00,27.20,190.12,1762,439
E2 MNN,ERFEN9310, M-NN,Malpelo,4.017016670,-81.617050000,33.00,27.00,349.45,508,912
E2 MED,ERFEN9310, M-ED,Malpelo,3.984916670,-81.583816670,33.00,27.00,363.92,1166,657
E2 MEN,ERFEN9310, M-EN,Malpelo,3.984916670,-81.583816670,33.00,27.00,341.95,24756,1088
E2 ME1D,ERFEN9310, M-E1D,Malpelo,3.984783330,-81.600783330,33.00,27.00,246.59,1620,989
E2  ME1N,ERFEN9310,  M-E1N,Malpelo,3.984783330,-81.600783330,33.00,27.00,246.74,18123,998
E2 MWD,ERFEN9310, M-WD,Malpelo,4.000483330,-81.061780000,33.00,27.10,341.94,981,720.2
E2 MWN,ERFEN9310, M-WN,Malpelo,4.000483330,-81.617800000,33.00,27.00,385.21,1662,1019.94
E2 MW1D,ERFEN9310, M-W1D,Malpelo,4.000466670,-81.617016670,33.00,27.00,246.59,663,932.1
E2 MW1N,ERFEN9310, M-W1N,Malpelo,4.000466670,-81.617016670,33.00,27.00,198.91,1065,1522.95
E2 MSD,ERFEN9310, M-SD,Malpelo,3.983366670,-81.584450000,33.00,27.00,267.24,1532.16,368.64
E2 MSN,ERFEN9310, M-SN,Malpelo,3.983366670,-81.000000000,33.00,27.00,715.93,5187.42,1622.88
E33,ERFEN0409,3,Pelágica,5.500000000,-77.750000000,26.00,28.00,85.67,565,673
E35,ERFEN0409,5,Pelágica,4.500000000,-77.500000000,27.00,26.60,84.61,71,378
E37,ERFEN0409,7,Pelágica,3.500000000,-77.500000000,28.00,26.50,101.37,593,2695
